"Name","Color","Maximal.speed","False.start","Place.in.the.competition","Birth.day","Birth.month","Birth.year"
"Boo Bear","Beige",1.5761131187191,0,7,28,9,2015
"Lovebug","Black",2.42863561998172,0,14,1,5,2015
"Sugar Cookie","Sable",3.56003645310357,0,2,28,11,2017
"Skittles","Sable",2.44636072545497,0,11,26,9,2016
"Bunny","Beige",3.83505680415496,0,4,3,1,2016
"Gingersnap","Dark eared white",4.10268575916201,0,8,19,8,2017
"Paws","Beige",1.8019656644823,0,3,18,10,2016
"Tigger","Dark eared white",3.15975948238916,0,5,20,4,2016
"Bebe","Cream",2.78099040796207,0,17,11,11,2017
"Butterscotch","Sable",1.38713644555106,1,1,7,9,2015
"Brown Sugar","Black",3.77736859705831,0,13,9,11,2016
"Snowball","Black",2.63195693501479,0,9,19,3,2016
"Sweety","Ruby eyed cream",2.6007386981881,0,16,19,6,2016
"Snookums","Sable",3.60419330292867,0,6,20,4,2017
"Whiskers","Cinnamon",3.08635802896756,0,12,20,7,2017
"Chocolate Chip","Cinnamon",2.84599012333139,0,15,24,10,2015
"Fufu","Beige",3.49604866417589,0,10,2,5,2016
"Cocoa","Red eyed cream",2.92392810474354,0,18,11,3,2016
